timestamp,vehicle_id,brake_pad_thickness_mm,brake_temp_c,airbag_status,chassis_stress_level,vibration_level,health_status
1/2/2026 2:00,V100,3.61,115.4,Fault,96.99,3.2,Good
1/2/2026 3:00,V102,11.3,128.1,OK,4.32,0.91,Good
1/2/2026 4:00,V102,10.08,113.7,OK,89.11,1.73,Good
1/2/2026 5:00,V102,8.33,63.2,OK,52.77,4.48,Good
1/2/2026 6:00,V101,10.71,152.8,OK,99.3,2.37,Critical
1/2/2026 7:00,V102,10.04,77.7,OK,7.38,3.34,Warning
1/2/2026 8:00,V101,3.87,34.1,OK,55.39,0.86,Critical
1/2/2026 9:00,V101,10.93,139.7,Fault,96.93,0.96,Good
1/2/2026 10:00,V102,7.39,60.1,OK,52.31,0.2,Warning
1/2/2026 11:00,V101,10.07,189.9,OK,62.94,0.84,Critical
1/2/2026 12:00,V102,10.96,192.2,OK,69.57,1.39,Good
1/2/2026 13:00,V102,5.18,185.5,OK,45.45,0.89,Good
1/2/2026 14:00,V100,3.1,92.9,OK,62.76,0.44,Warning
1/2/2026 15:00,V102,4.28,32.6,Fault,58.43,0.6,Good
1/2/2026 16:00,V100,6.27,187.8,OK,90.12,2.3,Warning
1/2/2026 17:00,V102,10.18,102.8,Deployed,4.54,1.03,Good
1/2/2026 18:00,V102,10.61,194.3,Fault,28.1,1.82,Warning
1/2/2026 19:00,V100,2.07,193.8,OK,95.04,2.52,Good
1/2/2026 20:00,V100,7.11,175,OK,89.03,3.45,Good
1/2/2026 21:00,V102,6.17,80.1,OK,45.57,0.2,Good
1/2/2026 22:00,V101,4.22,95.5,OK,62.01,4,Warning
1/2/2026 23:00,V100,3.2,174.7,OK,27.74,3.14,Good
1/3/2026 0:00,V101,5.38,83.9,OK,18.81,0.41,Good
1/3/2026 1:00,V101,11.43,58.8,OK,46.37,4.37,Good
1/3/2026 2:00,V101,5.23,124.7,OK,35.34,4.6,Warning
1/3/2026 3:00,V100,7.19,189.1,OK,58.37,0.31,Good
1/3/2026 4:00,V101,9.03,148.3,OK,7.77,1.38,Warning
1/3/2026 5:00,V100,5.64,126.9,OK,97.44,4.03,Good
1/3/2026 6:00,V101,11.72,46.5,OK,98.62,3.74,Good
1/3/2026 7:00,V102,11.62,134.6,OK,69.82,0.92,Good
1/3/2026 8:00,V102,4.52,198.3,OK,53.61,1.05,Good
1/3/2026 9:00,V100,6.97,53.8,OK,30.95,1.85,Warning
1/3/2026 10:00,V102,5.01,118.1,Fault,81.38,2.42,Good
1/3/2026 11:00,V102,4.85,179.2,OK,68.47,3.09,Good
1/3/2026 12:00,V101,2.37,155.9,OK,16.26,1.84,Warning
1/3/2026 13:00,V100,8.1,148.5,OK,91.09,2.31,Good
1/3/2026 14:00,V101,7.03,149.4,OK,82.25,3.74,Good
1/3/2026 15:00,V101,2.51,91.1,OK,94.98,0.18,Critical
1/3/2026 16:00,V101,4.79,79.9,OK,72.57,1.26,Good
1/3/2026 17:00,V101,11.08,167.6,Deployed,61.34,3.57,Good
1/3/2026 18:00,V101,4.4,167.7,OK,41.82,4.48,Critical
1/3/2026 19:00,V101,3.45,177.4,OK,93.27,2.56,Good
1/3/2026 20:00,V101,6.89,185.3,OK,86.61,2.66,Good
1/3/2026 21:00,V100,11.86,116.9,OK,4.52,0.54,Good
1/3/2026 22:00,V102,4.42,115.3,Fault,2.64,2.24,Warning
1/3/2026 23:00,V101,8.72,165.7,Fault,37.65,2.66,Good
1/4/2026 0:00,V101,9.62,140.5,OK,81.06,1.21,Good
1/4/2026 1:00,V101,4.38,149.3,OK,98.73,1.35,Warning
1/4/2026 2:00,V101,9.28,165.3,OK,15.04,1.89,Warning
1/4/2026 3:00,V101,5.68,181.3,OK,59.41,0.1,Good
1/4/2026 4:00,V101,8.32,87.5,Fault,38.09,1.61,Good
1/4/2026 5:00,V102,8.34,93.8,OK,96.99,1.06,Good
1/4/2026 6:00,V102,7.36,46,OK,84.21,1.64,Warning
1/4/2026 7:00,V101,2.9,128.3,OK,83.83,0.6,Good
1/4/2026 8:00,V102,10.35,36.1,Fault,46.87,4.45,Good
1/4/2026 9:00,V100,5.21,109.2,OK,41.48,2.97,Warning
1/4/2026 10:00,V101,3.87,122.2,OK,27.34,3.4,Warning
1/4/2026 11:00,V100,2.41,78.7,Fault,5.64,3.95,Good
1/4/2026 12:00,V100,7.91,130.4,OK,86.47,2.49,Warning
1/4/2026 13:00,V101,8.78,35.2,OK,81.29,0.43,Good
1/4/2026 14:00,V102,2.17,36.3,Deployed,99.97,2.69,Warning
1/4/2026 15:00,V100,7.12,169.8,Deployed,99.66,2.93,Good
1/4/2026 16:00,V101,4.26,91.2,OK,55.54,3.73,Good
1/4/2026 17:00,V100,8.45,51.6,OK,76.9,2.16,Warning
1/4/2026 18:00,V100,3.74,118.8,OK,94.48,0.64,Good
1/4/2026 19:00,V100,8.91,160.9,OK,84.96,1.42,Good
1/4/2026 20:00,V100,5.87,66.7,OK,24.73,1.82,Warning
1/4/2026 21:00,V102,11.37,135.9,OK,45.05,3.23,Warning
1/4/2026 22:00,V100,3.38,44.5,OK,12.92,2.85,Good
1/4/2026 23:00,V100,5.41,38.8,OK,95.41,1.78,Good
1/5/2026 0:00,V100,3.13,120.3,OK,60.62,4.93,Good
1/5/2026 1:00,V102,11.25,121.9,OK,22.86,3.03,Good
1/5/2026 2:00,V100,10.77,138.4,OK,67.17,1.19,Good
1/5/2026 3:00,V100,4.58,153.4,OK,61.81,0.51,Good
1/5/2026 4:00,V102,8.6,195.9,OK,35.82,0.76,Critical
1/5/2026 5:00,V102,10.17,117.8,OK,11.36,1.23,Good
1/5/2026 6:00,V102,7.55,84.9,Fault,67.16,0.8,Good
1/5/2026 7:00,V100,7.3,165.2,OK,52.03,0.93,Good
1/5/2026 8:00,V102,4.42,76,OK,77.23,1.43,Critical
1/5/2026 9:00,V102,2.93,104.6,OK,52.02,0.87,Good
1/5/2026 10:00,V100,10.97,43.3,OK,85.22,4.48,Good
1/5/2026 11:00,V102,11,34.3,OK,55.19,0.4,Good
1/5/2026 12:00,V100,8.33,193.7,OK,56.09,2.62,Good
1/5/2026 13:00,V101,5.39,172.1,OK,87.67,2.05,Good
1/5/2026 14:00,V102,5.49,148.3,OK,40.35,4.91,Warning
1/5/2026 15:00,V101,9.26,99.5,OK,13.4,0.56,Critical
1/5/2026 16:00,V100,10.97,59.5,OK,2.88,1.99,Good
1/5/2026 17:00,V102,10.87,56.6,OK,75.51,4.85,Good
1/5/2026 18:00,V100,9.8,72.5,OK,62.03,4.33,Critical
1/5/2026 19:00,V101,8.42,123.4,OK,70.41,4.09,Warning
1/5/2026 20:00,V100,2.84,151.5,Deployed,21.3,1.29,Good
1/5/2026 21:00,V102,3.62,142.2,OK,13.64,0.85,Good
1/5/2026 22:00,V102,10.99,77.6,OK,1.45,3.34,Good
1/5/2026 23:00,V101,8.06,192.3,OK,35.06,4.65,Good
