timestamp,vehicle_id,sensor_type,stress_level,vibration_level,status
2026-01-02 16:00:00,V300,Strain Gauge Sensor,44.96,3.06,Warning
2026-01-02 17:00:00,V300,Strain Gauge Sensor,44.17,0.09,Warning
2026-01-02 18:00:00,V300,Strain Gauge Sensor,54.16,4.36,Warning
2026-01-02 19:00:00,V301,Strain Gauge Sensor,52.85,4.66,Warning
2026-01-02 20:00:00,V300,Strain Gauge Sensor,50.22,2.83,Warning
2026-01-02 21:00:00,V300,Strain Gauge Sensor,42.55,3.48,Warning
2026-01-02 22:00:00,V300,Strain Gauge Sensor,44.35,4.61,Warning
2026-01-02 23:00:00,V301,Strain Gauge Sensor,42.97,3.54,Warning
2026-01-03 00:00:00,V300,Strain Gauge Sensor,50.19,0.76,Warning
2026-01-03 01:00:00,V301,Strain Gauge Sensor,35.89,2.88,Warning
2026-01-03 02:00:00,V301,Strain Gauge Sensor,48.11,3.03,Warning
2026-01-03 03:00:00,V300,Strain Gauge Sensor,49.68,2.12,Warning
2026-01-03 04:00:00,V300,Strain Gauge Sensor,44.4,3.68,Warning
2026-01-03 05:00:00,V301,Strain Gauge Sensor,56.82,4.67,Warning
2026-01-03 06:00:00,V300,Strain Gauge Sensor,47.94,4.63,Warning
2026-01-03 07:00:00,V300,Strain Gauge Sensor,55.78,2.25,Warning
2026-01-03 08:00:00,V301,Strain Gauge Sensor,69.17,0.57,Warning
2026-01-03 09:00:00,V301,Strain Gauge Sensor,48.01,4.92,Warning
2026-01-03 10:00:00,V300,Strain Gauge Sensor,56.13,4.19,Warning
2026-01-03 11:00:00,V301,Strain Gauge Sensor,55.64,0.62,Warning
2026-01-03 12:00:00,V300,Strain Gauge Sensor,55.48,4.6,Warning
2026-01-03 13:00:00,V300,Strain Gauge Sensor,63.09,4.35,Warning
2026-01-03 14:00:00,V300,Strain Gauge Sensor,65.63,2.59,Warning
2026-01-03 15:00:00,V301,Strain Gauge Sensor,64.77,2.96,Warning
2026-01-03 16:00:00,V300,Strain Gauge Sensor,58.1,2.0,Warning
2026-01-03 17:00:00,V300,Strain Gauge Sensor,74.69,0.27,Warning
2026-01-03 18:00:00,V300,Strain Gauge Sensor,54.48,1.68,Warning
2026-01-03 19:00:00,V301,Strain Gauge Sensor,58.98,4.01,Warning
2026-01-03 20:00:00,V301,Strain Gauge Sensor,65.8,0.02,Warning
2026-01-03 21:00:00,V301,Strain Gauge Sensor,66.2,1.67,Warning
2026-01-03 22:00:00,V301,Strain Gauge Sensor,69.01,1.99,Warning
2026-01-03 23:00:00,V301,Strain Gauge Sensor,75.27,2.69,Warning
2026-01-04 00:00:00,V300,Strain Gauge Sensor,67.58,4.6,Warning
2026-01-04 01:00:00,V301,Strain Gauge Sensor,69.56,1.73,Warning
2026-01-04 02:00:00,V301,Strain Gauge Sensor,66.83,1.73,Warning
2026-01-04 03:00:00,V301,Strain Gauge Sensor,73.55,3.69,Critical
2026-01-04 04:00:00,V300,Strain Gauge Sensor,69.82,2.26,Critical
2026-01-04 05:00:00,V301,Strain Gauge Sensor,70.63,1.12,Critical
2026-01-04 06:00:00,V301,Strain Gauge Sensor,75.75,2.26,Critical
2026-01-04 07:00:00,V300,Strain Gauge Sensor,79.01,0.7,Critical
2026-01-04 08:00:00,V301,Strain Gauge Sensor,63.61,0.88,Critical
2026-01-04 09:00:00,V300,Strain Gauge Sensor,77.26,2.49,Critical
2026-01-04 10:00:00,V300,Strain Gauge Sensor,74.91,2.09,Critical
2026-01-04 11:00:00,V300,Strain Gauge Sensor,81.81,4.57,Critical
2026-01-04 12:00:00,V300,Strain Gauge Sensor,76.63,1.81,Critical
2026-01-04 13:00:00,V300,Strain Gauge Sensor,85.19,2.9,Critical
2026-01-04 14:00:00,V301,Strain Gauge Sensor,76.11,3.16,Critical
2026-01-04 15:00:00,V300,Strain Gauge Sensor,69.15,0.07,Critical
2026-01-04 16:00:00,V300,Strain Gauge Sensor,86.37,3.32,Critical
2026-01-04 17:00:00,V301,Strain Gauge Sensor,77.7,0.89,Critical
2026-01-04 18:00:00,V300,Strain Gauge Sensor,74.83,4.81,Critical
2026-01-04 19:00:00,V301,Strain Gauge Sensor,83.62,0.74,Critical
2026-01-04 20:00:00,V301,Strain Gauge Sensor,83.15,2.07,Critical
2026-01-04 21:00:00,V301,Strain Gauge Sensor,89.27,0.43,Critical
2026-01-04 22:00:00,V300,Strain Gauge Sensor,90.42,4.98,Critical
2026-01-04 23:00:00,V300,Strain Gauge Sensor,87.25,2.51,Critical
2026-01-05 00:00:00,V300,Strain Gauge Sensor,83.15,2.98,Critical
2026-01-05 01:00:00,V301,Strain Gauge Sensor,89.82,0.34,Critical
2026-01-05 02:00:00,V300,Strain Gauge Sensor,90.02,3.75,Critical
2026-01-05 03:00:00,V300,Strain Gauge Sensor,92.84,1.05,Critical
